GeneID,Symbol,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
6648,SOD2,superoxide dismutase 2,17052.785371223013,2.995497656400933,0.10869062900802283,27.559852065809878,3.3720601663880527e-167,4.9845793379548196e-163
718,C3,complement C3,4294.523578386007,2.050885031943205,0.10415337505299002,19.6910088693696,2.575095742087458e-86,1.9032532629768402e-82
64116,SLC39A8,solute carrier family 39 member 8,593.963104185502,2.2227759948897936,0.12675595799863656,17.535869950300107,7.627332479858668e-69,3.758240957242361e-65
629,CFB,complement factor B,457.7959123101889,2.526555258889164,0.1607548402931573,15.716822300850556,1.1599737983087118e-55,4.2866831716498445e-52
7128,TNFAIP3,TNF alpha induced protein 3,464.89123731761663,1.99291436911817,0.13701991686640036,14.544705723776913,6.31016174038949e-48,1.8655362169287487e-44
9052,GPRC5A,G protein-coupled receptor class C group 5 member A,545.2357016270117,-1.8340972622353846,0.14146683120258435,-12.964857179906062,1.9359064016928043e-38,4.769428071637172e-35
124935,SLC43A2,solute carrier family 43 member 2,662.7178852782816,1.4705309430906812,0.12016070842550104,12.238034898091518,1.946893508197155e-34,4.1112828340243345e-31
7153,TOP2A,DNA topoisomerase II alpha,3278.918548506736,-1.0171442316965855,0.091392747866819,-11.129375748487252,9.026542164316775e-29,1.6678793284116322e-25
3589,IL11,interleukin 11,302.632980974748,-1.7417081120801654,0.15845651724939028,-10.991710169540958,4.18912292069069e-28,6.880401668183308e-25
7127,TNFAIP2,TNF alpha induced protein 2,311.946360132176,1.6794328500257183,0.15525126714283835,10.81751460669601,2.8438482239625512e-27,4.2037764446614436e-24
7130,TNFAIP6,TNF alpha induced protein 6,171.51615641939486,1.951775711415471,0.18112530812971755,10.775831006551865,4.477207631366395e-27,6.016553018805277e-24
55165,CEP55,centrosomal protein 55,690.7176896410747,-1.1701866337474307,0.11140776211039828,-10.50363647541764,8.31152141670001e-26,1.0238409131804962e-22
140876,RIPOR3,RIPOR family member 3,761.1860395295962,1.824601037223359,0.17464872336930728,10.447262379153548,1.5081583055116066e-25,1.7148920055440437e-22
2919,CXCL1,C-X-C motif chemokine ligand 1,3079.596023127151,1.0212426593886486,0.10082947668485202,10.128413763175601,4.132994952476048e-24,3.818370711718809e-21
771,CA12,carbonic anhydrase 12,1537.8245913320006,1.109721869668961,0.11054584105074529,10.038567341122775,1.0316153247611374e-23,8.970198665070078e-21
176,ACAN,aggrecan,324.42299404437233,-1.6496902604134709,0.16780291064576278,-9.831118268836343,8.269534861021739e-23,6.791125795312407e-20
3383,ICAM1,intercellular adhesion molecule 1,348.98746109559505,1.8217433780387777,0.18638569198876093,9.774051637765355,1.455136874288478e-22,1.132096488196436e-19
5737,PTGFR,prostaglandin F receptor,3162.6954710634664,1.1927515642685294,0.12472989834917654,9.562675670026342,1.147508956469474e-21,8.481238697265883e-19
6372,CXCL6,C-X-C motif chemokine ligand 6,5681.97567805335,1.1169905089339687,0.11729463831020102,9.522946018895945,1.6833780872930451e-21,1.1849378517317044e-18
3161,HMMR,hyaluronan mediated motility receptor,491.72372525348464,-1.2043369134763462,0.12789166438871405,-9.416852296298869,4.648133742422852e-21,3.1231233172952087e-18
701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,477.11589130254845,-1.0928030621851508,0.11710134703785807,-9.332113505337004,1.0378045796945346e-20,6.669924911758526e-18
9493,KIF23,kinesin family member 23,655.1134999390317,-1.0489433059395719,0.11279333598365458,-9.299692191847036,1.408528560173381e-20,8.675362156867881e-18
983,CDK1,cyclin dependent kinase 1,436.752478627992,-1.1631743422464653,0.12571502745242244,-9.25246858564045,2.1936667867164613e-20,1.2970712976497092e-17
5971,RELB,"RELB proto-oncogene, NF-kB subunit",126.56520735500038,1.7075083067489756,0.1884317896546437,9.061678551578177,1.284582816991761e-19,7.303347384912389e-17
9787,DLGAP5,DLG associated protein 5,707.4309368715024,-1.04605068744888,0.11748949029593347,-8.903355396419535,5.418334533314525e-19,2.860493609694833e-16
699,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,609.1214067316251,-1.051464159757908,0.12092107860997516,-8.695457994956799,3.4543358519057925e-18,1.7607583642369456e-15
6241,RRM2,ribonucleotide reductase regulatory subunit M2,1595.216364532717,-1.065306249093991,0.12334675795576062,-8.636678148249931,5.7871126311406304e-18,2.85150329711736e-15
83540,NUF2,NUF2 component of NDC80 kinetochore complex,218.5767343726551,-1.302362727517067,0.15183772229847817,-8.577333140949786,9.709808773503712e-18,4.630012686771995e-15
55635,DEPDC1,DEP domain containing 1,455.25880242586567,-1.113887280323534,0.13027519872551677,-8.550263528443645,1.2280779256722263e-17,5.67295246790214e-15
84665,MYPN,myopalladin,161.53094791250678,-1.598499009224975,0.19286396194973682,-8.288220324134828,1.1495549253215155e-16,4.9978590900301885e-14
57722,IGDCC4,immunoglobulin superfamily DCC subclass member 4,123.16688759912829,1.504094870550016,0.1880930941989592,7.99654488622017,1.2795913677955772e-15,5.112140432095735e-13
1734,DIO2,iodothyronine deiodinase 2,246.0924804382146,-1.3459659282503988,0.17039180332489792,-7.899241054946474,2.8060673910982075e-15,1.0635714916721463e-12
55355,HJURP,Holliday junction recognition protein,335.977148488062,-1.0276927092566224,0.13134534590778646,-7.824355725387742,5.102633383897452e-15,1.8856781670193035e-12
4085,MAD2L1,mitotic arrest deficient 2 like 1,439.379678726957,-1.1455036682288704,0.14731826479089885,-7.775707037106225,7.502716076476753e-15,2.640598786725699e-12
3569,IL6,interleukin 6,161.5822966747131,1.5940673602714606,0.20641746493842472,7.722541117085117,1.140331168445773e-14,3.830994393628504e-12
4045,LSAMP,limbic system associated membrane protein,305.65309888029833,1.2903281572175616,0.17658494006957076,7.307124586667467,2.729194913401988e-13,7.204099858912177e-11
90632,LINC00473,long intergenic non-protein coding RNA 473,58.67688738250656,-1.9927821989814236,0.2727053032546691,-7.307456713155448,2.72245984893851e-13,7.204099858912177e-11
